source,target,type
3128,5651,directed
5651,2063,directed
663,2541,directed
2541,7905,directed
7905,9546,directed
9546,5213,directed
5213,663,directed
663,2524,directed
8875,9062,directed
9322,2901,directed
2901,6514,directed
2343,837,directed
3985,4214,directed
4214,1257,directed
1257,8520,directed
8520,2397,directed
6514,2901,directed
2901,429,directed
7870,6593,directed
6593,5223,directed
2856,5651,directed
3344,9097,directed
8012,1455,directed
1455,7698,directed
7698,2099,directed
5802,5201,directed
4480,5742,directed
5742,6008,directed
6749,12,directed
12,7645,directed
7645,8242,directed
8242,34,directed
4974,4055,directed
4128,3951,directed
3951,7184,directed
7184,2816,directed
2816,7822,directed
7822,2404,directed
2404,2044,directed
8989,5972,directed
8328,7184,directed
7184,5878,directed
5878,2816,directed
2816,7822,directed
2457,7942,directed
6153,420,directed
420,2541,directed
7110,8514,directed
1576,4269,directed
2216,6894,directed
8011,5570,directed
5570,5352,directed
5352,9411,directed
7023,2970,directed
2250,115,directed
115,4994,directed
4994,5742,directed
5742,4377,directed
4377,3056,directed
3056,378,directed
7755,2589,directed
8328,826,directed
826,1403,directed
1403,3056,directed
3056,3780,directed
3780,2375,directed
7590,7608,directed
2734,4269,directed
4082,2799,directed
5196,5742,directed
1128,5620,directed
5620,8368,directed
8368,8011,directed
685,5988,directed
5988,5742,directed
4048,4576,directed
4576,6217,directed
6217,7741,directed
2040,7600,directed
7979,5518,directed
6698,3206,directed
7033,9308,directed
8400,4994,directed
4994,5742,directed
7110,8514,directed
586,6817,directed
6817,9435,directed
9435,672,directed
3985,2415,directed
2415,4914,directed
360,4931,directed
9436,8815,directed
8815,5885,directed
8490,1341,directed
1341,1912,directed
8643,7507,directed
4644,2541,directed
2541,7905,directed
7905,1678,directed
1678,3061,directed
3061,2746,directed
2746,5225,directed
5225,2738,directed
1257,7446,directed
7446,5651,directed
6617,517,directed
5963,3056,directed
3056,6382,directed
8873,3056,directed
3056,6483,directed
8328,74,directed
74,7184,directed
3628,3056,directed
3056,5813,directed
9549,7890,directed
7890,8980,directed
8980,4741,directed
1667,7681,directed
7681,5651,directed
5651,115,directed
4082,7608,directed
1257,4201,directed
4201,7978,directed
7978,8649,directed
672,398,directed
398,4269,directed
6602,5988,directed
